Complexity,Loss,Equation
1,2.3634174e8,"26648.229"
3,3013.4983,"x0 * 1.13824535e-5"
4,3013.4758,"abs(x0 * 1.1382367e-5)"
5,1627.026,"(x0 * 1.1406065e-5) - 73.86925"
9,1537.8322,"(mod(x0, -12.074625) + (x0 * 1.1406043e-5)) - 67.44594"
10,1537.67,"mod(mod(x0, -12.074625), abs(x0 * 1.1406043e-5)) + -68.2215"
11,1442.5234,"((mod(x0, -12.074625) / 0.3262136) + (1.1408351e-5 * x0)) + -63.150063"
12,827.72577,"((cos(x0 * -1.2447248e-7) * -38.816906) + (x0 * 1.1405969e-5)) - 73.86925"
13,821.55255,"((-46.259895 * sin(cos(x0 * -1.2447248e-7))) + (x0 * 1.1405969e-5)) - 73.86925"
14,802.08594,"((-38.816906 * sin(1.0870655 - (x0 * -1.2463934e-7))) - (x0 * -1.1406614e-5)) - 75.28747"
15,790.039,"((-46.259895 * sin(sin(1.1081064 - (x0 * -1.2462662e-7)))) + (x0 * 1.1405969e-5)) - 73.86925"
16,788.76776,"((49.01354 * sin(sin(sin((x0 * -1.2463931e-7) - 1.0870655)))) - (x0 * -1.1405664e-5)) - 72.78659"
18,784.7296,"((-47.290977 * sin(1.1081064 * sin(sin(1.1081064 - (x0 * -1.2462662e-7))))) + (x0 * 1.1405969e-5)) - 73.86925"
19,776.6929,"(mod(x0, -12.074625) + ((-46.259895 * sin(sin(1.1081064 - (x0 * -1.2462662e-7)))) - (x0 * -1.1405843e-5))) - 67.44594"
20,773.4072,"(mod(x0, -12.074625) + ((-46.259895 * sin(sin(sin(1.0870655 - (x0 * -1.2462662e-7))))) - (x0 * -1.1405843e-5))) - 67.44594"
